zes28a-1a2b-09v
Date,Time,Value [µS/cm],Quality,Tags,Comments
28/08/2025,02:40:00,3696.514,NA,conductivity,21.317
28/08/2025,02:45:00,3729.325,NA,conductivity,21.324
28/08/2025,02:50:00,3776.577,NA,conductivity,21.337
28/08/2025,02:55:00,3842.971,NA,conductivity,21.349
28/08/2025,03:00:00,3899.634,NA,conductivity,21.358
28/08/2025,03:05:00,3952.836,NA,conductivity,21.374
28/08/2025,03:10:00,3996.000,NA,conductivity,21.380
28/08/2025,03:15:00,4055.909,NA,conductivity,21.394
28/08/2025,03:20:00,4111.434,NA,conductivity,21.404
28/08/2025,03:25:00,4199.267,NA,conductivity,21.415
28/08/2025,03:30:00,4261.106,NA,conductivity,21.421
28/08/2025,03:35:00,4324.446,NA,conductivity,21.424
28/08/2025,03:40:00,4424.953,NA,conductivity,21.430
28/08/2025,03:45:00,4512.766,NA,conductivity,21.434
28/08/2025,03:50:00,4653.729,NA,conductivity,21.433
28/08/2025,03:55:00,4804.646,NA,conductivity,21.430
28/08/2025,04:00:00,4926.474,NA,conductivity,21.431
28/08/2025,04:05:00,5052.520,NA,conductivity,21.436
28/08/2025,04:10:00,5198.508,NA,conductivity,21.445
28/08/2025,04:15:00,5258.350,NA,conductivity,21.446
28/08/2025,04:20:00,5366.051,NA,conductivity,21.453
28/08/2025,04:25:00,5476.841,NA,conductivity,21.461
28/08/2025,04:30:00,5570.926,NA,conductivity,21.464
28/08/2025,04:35:00,5715.774,NA,conductivity,21.471
28/08/2025,04:40:00,5818.419,NA,conductivity,21.476
28/08/2025,04:45:00,5921.683,NA,conductivity,21.478
28/08/2025,04:50:00,5992.740,NA,conductivity,21.480
28/08/2025,04:55:00,6096.881,NA,conductivity,21.482
28/08/2025,05:00:00,6208.457,NA,conductivity,21.485
28/08/2025,05:05:00,6321.065,NA,conductivity,21.486
28/08/2025,05:10:00,6442.526,NA,conductivity,21.489
28/08/2025,05:15:00,6562.021,NA,conductivity,21.492
28/08/2025,05:20:00,6654.013,NA,conductivity,21.491
28/08/2025,05:25:00,6757.635,NA,conductivity,21.491
28/08/2025,05:30:00,6891.425,NA,conductivity,21.488
28/08/2025,05:35:00,7081.166,NA,conductivity,21.489
28/08/2025,05:40:00,7227.475,NA,conductivity,21.489
28/08/2025,05:45:00,7420.330,NA,conductivity,21.490
28/08/2025,05:50:00,7630.583,NA,conductivity,21.490
28/08/2025,05:55:00,7876.433,NA,conductivity,21.491
28/08/2025,06:00:00,8113.497,NA,conductivity,21.491
28/08/2025,06:05:00,8347.532,NA,conductivity,21.491
28/08/2025,06:10:00,8676.054,NA,conductivity,21.490
28/08/2025,06:15:00,9066.765,NA,conductivity,21.492
28/08/2025,06:20:00,9465.211,NA,conductivity,21.493
28/08/2025,06:25:00,9821.102,NA,conductivity,21.495
28/08/2025,06:30:00,10320.955,NA,conductivity,21.494
28/08/2025,06:35:00,10611.061,NA,conductivity,21.491
28/08/2025,06:40:00,10876.354,NA,conductivity,21.486
28/08/2025,06:45:00,11125.055,NA,conductivity,21.482
28/08/2025,06:50:00,11291.769,NA,conductivity,21.479
28/08/2025,06:55:00,11567.908,NA,conductivity,21.474
28/08/2025,07:00:00,11795.641,NA,conductivity,21.472
28/08/2025,07:05:00,11986.464,NA,conductivity,21.471
28/08/2025,07:10:00,12148.915,NA,conductivity,21.471
28/08/2025,07:15:00,12233.432,NA,conductivity,21.471
28/08/2025,07:20:00,12461.857,NA,conductivity,21.471
28/08/2025,07:25:00,12552.120,NA,conductivity,21.472
28/08/2025,07:30:00,12625.071,NA,conductivity,21.471
28/08/2025,07:35:00,12657.516,NA,conductivity,21.472
28/08/2025,07:40:00,12647.014,NA,conductivity,21.476
28/08/2025,07:45:00,12588.435,NA,conductivity,21.473
